timestamp,classlabel,x0,y0,w0,x1,y1,w1,x2,y2,w2,x3,y3,w3,x4,y4,w4,x5,y5,w5,x6,y6,w6,x7,y7,w7,x8,y8,w8,x9,y9,w9,x10,y10,w10,x11,y11,w11
20121120-070007311,Finger,222.0,734.0,6.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070007616,Finger,223.0,380.0,6.62999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070007944,Finger,154.0,782.0,6.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070008244,Finger,182.0,395.0,6.53,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070008594,Finger,118.0,768.0,6.67999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070008960,Finger,235.0,310.0,6.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070009444,Finger,156.0,791.0,6.67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070009794,Finger,225.0,366.0,6.60999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070014728,Mouse,432.0,840.0,15.12,243.0,212.0,6.39,640.0,738.0,17.18,333.0,786.0,12.9,131.0,275.0,6.31,96.0,566.0,11.94,376.0,181.0,5.78999,518.0,194.0,7.18999,-1,-1,-1,602.0,842.0,12.29,-1,-1,-1,-1,-1,-1
20121120-070015378,Mouse,534.0,200.0,7.23999,391.0,195.0,6.03,261.0,219.0,6.56999,128.0,576.0,10.68,656.0,769.0,25.12,146.0,287.0,6.54999,360.0,802.0,8.26999,428.0,826.0,16.29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20121120-070016678,Mouse,112.0,603.0,11.34,122.0,311.0,6.54999,249.0,235.0,6.39999,526.0,220.0,7.45,377.0,214.0,6.31999,-1,-1,-1,353.0,825.0,9.62999,647.0,783.0,23.07,436.0,861.0,12.73,583.0,864.0,9.21999,-1,-1,-1,-1,-1,-1
